Customer Balance,សមតុល្យអតិថិជន
Amount to  Pay,ចំនួនទឹកប្រាក់ត្រូវបង់
Get Sales Invoice by Date,ទាញយកវិក័យប័ត្រលក់តាមកាលបរិច្ឆេទ
Sales Invoice List,បញ្ជីវិក័យប័ត្រលក់
Sale Invoice #,វិក័យប័ត្រលក់លេខ
Sale Invoice Date,កាលបរិច្ឆេទវិក័យប័ត្រលក់
Sale Invoices,វិក័យប័ត្រលក់
Notification,សារជូនដំណឹង
Paid Amount,ចំនួនទឹកប្រាក់បានបង់
Sale Balance,សមតុល្យការលក់
Write off Amount,ចំនួនទឹកប្រាក់កាត់ចេញ
Pay,បង់ប្រាក់
Total Sales Invoice,វិក្កយបត្រលក់សរុប
Total Amount To Pay,ចំនួនសរុបត្រូវបង់
Total Payment Amount,ចំនួនទឹកប្រាក់សរុបដែលបានបង់
Amended From,បានកែប្រែមកពី
Currency Exchange Rate,អត្រាប្ដូរប្រាក់
Get Sales Invoice,ទាញយកវិកយប័ត្រ
Credit Amount,ចំនួនទឹកប្រាក់ឥណទាន
Debit Amount,ចំនួនទឹកប្រាក់ឥណពន្ធ
Total Debit,សរុបឥណពន្ធ
Total Credit,សរុបឥណទាន
Refresh,ផ្ទុកឡើងវិញ
Expense Code,លេខកូដចំណាយ
Expense Name,ឈ្មោះចំណាយ
Currency,រូបិយប័ណ្ណ
Stats,ស្ថិតិ
Export,នាំចេញ
Start Year,ឆ្នាំចាប់ផ្តើម
End Year,ឆ្នាំបញ្ចប់
Column Group,ក្រុមជួរឈរ
Filter Based On,តម្រងផ្អែកលើ
Reset Chart,កំណត់តារាងឡើងវិញ
Set,កំណត់
Remark,ចំណាំ
Is Cancelled,ត្រូវបានលុបចោល
Income,ចំណូល
Collapse,បង្រួម
Sale Payment List,បញ្ជីទូទាត់ថ្លៃលក់
Total Write Off,ចំនួនកាត់ចោល
Sale Payment Invoices,វិក្កយបត្រទូទាត់ថ្លៃលក់
Total Sale Quantity,ចំនួនលក់សរុប
Payment Type Group,ប្រភេទនៃការទូទាត់ជាក្រុម
Is Bank,គឺជាធនាគារ
Payment Type Group KH,ប្រភេទនៃការទូទាត់ជាក្រុមភាសាខ្មែរ
Bank,ធនាគារ
Total Split Bill,ចំនួនបំបែកវិក្កយបត្រ
Total Amount: {0},សរុបតម្លៃ: {0}
Total Cost: {0},ថ្លៃដើមសរុប: {0}
Amount,ចំនួនទឹកប្រាក់
Total Quantity: {0},ចំនួនសរុប: {0}
Total Payment: {0},ទូទាត់ប្រាក់សរុប: {0}
Balance: {0},សមតុល្យ: {0}
Payments,បង់ប្រាក់
Payable Account,គណនីជំពាក់
New Expenses,ចំណាយថ្មី
Expenses,ចំណាយ
Menu,ម៉ឺនុយ
Default Income Account,គណនីចំណូលលំនាំដើម
Default Free Account,គណនីឥតគិតថ្លៃលំនាំដើម
Default Receivable Account,គណនីដែលត្រូវទទួលប្រាក់លំនាំដើម
Driver,អ្នកបើកបរ
Driver Name,ឈ្មោះអ្នកបើកបរ
Sale Status,ស្ថានភាពលក់
Parent Bill Number,លេខវិកយប័ត្រមេ
Draft,ព្រាងទុក
Deleted,បានលុប
Paid,បានបង់
Unpaid,មិនទាន់បង់
Partially Paid,បានបង់ខ្លះ
Account Code,លេខកូដគណនី
Account Name,ឈ្មោះគណនី
Account Name (KH),ឈ្មោះគណនីជាភាសាខ្មែរ
Root Type,ប្រភេទមូលដ្ឋាន
Account Type,ប្រភេទគណនី
Is Group,ជាក្រុម
Create New,បង្កើតថ្មី
Keyboard Shortcuts,ផ្លូវកាត់ក្ដារចុច
System Health,ស្ថានភាពប្រព័ន្ធ
Frappe Support,ការគាំទ្រ Frappe
Home Page, ទំព័រដើម
Chart of Accounts,តារាងគណនី
Chart of Account,តារាងគណនី
Assets,ទ្រព្យសម្បត្តិ
Expand,ពង្រីក 
Current Assets,ទ្រព្យសកម្មបច្ចុប្បន្ន
Cash on Hand,សាច់ប្រាក់នៅក្នុងដៃ
Cash at Bank,សាច់ប្រាក់នៅធនាគារ 
Accounts Receivable,គណនីទទួលប្រាក់
Other Receivables,ប្រាក់ត្រូវទទួលផ្សេងៗ
Inventory,សារពើភ័ណ្ឌ
Non-Current Assets,អរូបីរយៈពេលវែង
Collapse All, បង្រួមទាំងអស់
Expand All,ពង្រីកទាំងអស់
User Settings,ការកំណត់អ្នកប្រើ
Workspace Settings,ការកំណត់ Workspace
Session Defaults,លំនាំដើមសម័យប្រើប្រាស់
Reload,ផ្ទុកឡើងវិញ
View Website,មើលគេហទំព័រ
Apps,កម្មវិធី
Toggle Full Width,បិទបើកទទឹងពេញ
Toggle Theme,បិទបើកស្បែកប្រព័ន្ធ
Log out,ចេញពីប្រព័ន្ធ
Notifications,ការជូនដំណឹង
Events,ព្រឹត្តិការណ៍
What's New,អ្វីថ្មី
Nothing New,គ្មានអ្វីថ្មី
There is nothing new to show you right now.,បច្ចុប្បន្ននេះមិនមានអ្វីថ្មីបង្ហាញទេ។
Load More,ផ្ទុកបន្ថែម
Filter By,តម្រៀបតាម
Assigned To,បញ្ជាក់ទៅកាន់
No filters found,រកមិនឃើញតម្រងទេ
Edit Filters,កែសម្រួលតម្រង
Select Filters,ជ្រើសរើសតម្រង
Tags,ស្លាក
No Tags,គ្មានស្លាក
Show Tags,បង្ហាញស្លាក
Saved Filters,តម្រងដែលបានរក្សាទុក
Filter Name,ឈ្មោះតម្រង
Customer Group KH,ក្រុមអតិថិជនជាភាសាខ្មែរ
Your Short,ផ្លូវកាត់របស់អ្នក
Employee Management,គ្រប់គ្រងបុគ្គលិក
Recent Added Product,ផលិតផលថ្មីដែលបានបន្ថែម
Business Information,ព័ត៌មានអាជីវកម្ម
Outlet Settings,ការកំណត់កន្លែងលក់
No Upcoming Events,គ្មានព្រឹត្តិការណ៍ខាងមុខទេ
There are no upcoming events for you.,មិនមានព្រឹត្តិការណ៍ខាងមុខសម្រាប់អ្នកទេ
No New notifications,គ្មានការជូនដំណឹងថ្មីទេ
Looks like you haven’t received any notifications.,ហាក់ដូចជាអ្នកមិនទាន់ទទួលការជូនដំណឹងណាមួយទេ
Total Products,ផលិតផលសរុប
Disabled,អសកម្ម,
Customer Group En,ក្រុមអតិថិជន (En)
Not Saved,មិនបានរក្សាទុក
User Permissions,សិទ្ធិអ្នកប្រើ
Role Permissions Manager,កម្មវិធីគ្រប់គ្រងសិទ្ធតាមតួនាទី
Customize,ប្ដូរតាមបំណង
Toggle Sidebar,បិទ/បើករបារចំហៀង
Edit DocType,កែសម្រួលប្រភេទឯកសារ
List Settings,ការកំណត់បញ្ជី
Report View,របាយការណ៍ទិដ្ឋភាព
Dashboard View,ទិដ្ឋភាពផ្ទាំងគ្រប់គ្រង
Kanban View,ទិដ្ឋភាព Kanban
Image View,ទិដ្ឋភាពរូបភាព
Edit Full Form,កែសម្រួលទម្រង់ពេញ
Equals,ស្មើ
Not Equals, មិនស្មើរ
Like,ដូច
Not Like,មិនដូច
In,នៅក្នុង
Not In,មិននៅក្នុង
Is,គឺ
Add a Filter,បន្ថែម
Clear Filters,លុបតម្រង
Apply Filters,អនុវត្តតម្រង
Attachments,ឯកសារភ្ជាប់
Share,ចែករំលែក
Add to ToDo,បន្ថែមទៅកាន់កិច្ចការត្រូវធ្វើ
Assign to me,បញ្ជាក់ឲ្យខ្ញុំ
Assign To,បញ្ជាក់ឲ្យ
Assign To User Group,បញ្ជាក់ឲ្យក្រុមអ្នកប្រើ
Complete By,បញ្ចប់ដោយ
Priority,អាទិភាព
Comment,មតិយោបល់
Upload,ផ្ទុកឡើង
Drag and drop files here or upload from,អូសនិងទម្លាក់ឯកសារនៅទីនេះ ឬផ្ទុកឡើងពី
My Device,ឧបករណ៍របស់ខ្ញុំ
Library,បណ្ណាល័យ
Link,តំណភ្ជាប់
Set all private,កំណត់ទាំងអស់ឲ្យឯកជន
Set all public,កំណត់ទាំងអស់ឲ្យសាធារណៈ
Can Read,អាចអានបាន
Can Write,អាចសរសេរបាន
Can Submit,អាចដាក់ស្នើបាន
Submitted,បានបញ្ជូន
Max Produce Quantity,ចំនួនផលិតអតិបរិមា
Total Produce Quantity,ចំនួនបានដក
Total Remaining Quantity,ចំនួននៅសល់
Block Ice Produce Information,ព័ត៌មានការផលិត
Can Share,អាចចែករំលែកបាន
Share this document with,ចែករំលែកឯកសារនេះជាមួយ
Insert Below,បញ្ចូលខាងក្រោម
Insert Above,បញ្ចូលខាងលើ
Duplicate,ចម្លង
Move,ផ្លាស់ទី
Configure Columns,កំណត់រចនាសម្ព័ន្ធជួរឈរ
Fieldname,ឈ្មោះ
Column Width,ទទឹងជួរឈរ
Sticky,ថេរ
Add / Remove Columns,បន្ថែម / ដកជួរឈរ
Reset to default,កំណត់ទៅលំនាំដើម
Update,ធ្វើបច្ចុប្បន្នភាព
Type a reply / comment,វាយបញ្ចូលការឆ្លើយតប / មតិយោបល់
Outlets,កន្លែងលក់
Product Name KH,ឈ្មោះផលិតផលជាភាសាខ្មែរ
Allow Sum QTY,អនុញ្ញាតបូកបរិមាណ
Show In Sale Report,បង្ហាញក្នុងរបាយការណ៍លក់
Allow Split Bill,អនុញ្ញាតបំបែកវិក្កយបត្រ
Income Account,គណនីចំណូល
Free Account,គណនីឥតគិតថ្លៃ
Details,ព័ត៌មានលម្អិត
Base Product Unit,ឯកតាមូលដ្ឋានផលិតផល
Email,អ៊ីមែល
Rename,ប្តូរឈ្មោះ
Show Links,បង្ហាញតំណភ្ជាប់
Copy to Clipboard,ចម្លង Clipboard
Remind Me,រំលឹកខ្ញុំ
Undo,ថយក្រោយ
Redo,ទៅមុខ
To,ទៅកាន់
Subject,ប្រធានបទ
Message,សារ
Send me a copy,ផ្ញើចម្លងមកខ្ញុំ
Send Read Receipt,ផ្ញើបញ្ជាក់ Receipt
Select Attachments,ជ្រើសឯកសារភ្ជាប់
Add Attachment,បន្ថែមឯកសារភ្ជាប់
Attach Document Print,ភ្ជាប់ឯកសារបោះពុម្ព
Select Print Format,ជ្រើសទម្រង់បោះពុម្ព
Print Language,ភាសាបោះពុម្ព
Print Format,ទម្រង់បោះពុម្ព
Language,ភាសា
Letter Head,ក្បាលលិខិត
Product Outlets,ផលិតផល
Try the new Print Designer,សាកល្បងអ្នករចនាបោះពុម្ពថ្មី
Full Page,ទំព័រពេញ
Print Settings,ការកំណត់បោះពុម្ព
New Name,ឈ្មោះថ្មី
Merge with existing (This cannot be undone),បញ្ចូលជាមួយដែលមាន (មិនអាចមិនធ្វើវិញបាន)
Linked With,ភ្ជាប់ជាមួយ
Create a Reminder,បង្កើតការរំលឹក
Remind Me In,រំលឹកខ្ញុំក្នុង
Remind At,រំលឹកនៅពេល
Create,បង្កើត
Form,ទម្រង់
Accounts,គណនី
Permissions,សិទ្ធិ
Naming,ការដាក់ឈ្មោះ
Actions,សកម្មភាព
Links,តំណភ្ជាប់
States,ស្ថានភាព
Web View,ទិដ្ឋភាពវែប
Connections,ការតភ្ជាប់
Views,ទិដ្ឋភាព
Workflow,លំហូរការងារ
Customization,ការប្ដូរតាមបំណង
Role,តួនាទី
Product Prefix,បុព្វបទផលិតផល
Business Name KH,ឈ្មោះអាជីវកម្មជាភាសាខ្មែរ
Closed Selling Date Doctype,ប្រភេទឯកសារថ្ងៃបិទលក់
Server Report Setting,ការកំណត់របាយការណ៍ម៉ាស៊ីនមេ
Receipt Logo,Logo វិក្កយបត្រ
Default Currency,រូបិយប័ណ្ណលំនាំដើម
Currency Symbol,និមិត្តសញ្ញារូបិយប័ណ្ណ
Currency Format,ទម្រង់រូបិយប័ណ្ណ
Attach,ភ្ជាប់
Reset Transaction,កំណត់ប្រតិបត្តិការឡើងវិញ
Cash Account,គណនីសាច់ប្រាក់
Bank Account,គណនីធនាគារ
Cash Transfer Account,គណនីផ្ទេរសាច់ប្រាក់
Receivable Account,គណនីទទួលប្រាក់
Credit Account,គណនីឥណទាន
Write Off Account,គណនីលុបចោល
Inventory Account,គណនីសារពើភ័ណ្ឌ
Server Report URL,អាសយដ្ឋានរបាយការណ៍ម៉ាស៊ីនមេ (URL)
Report Service URL,អាសយដ្ឋានសេវារបាយការណ៍ (URL)
Report Server Token,Token ម៉ាស៊ីនមេរបាយការណ៍
Outlet Name KH,ឈ្មោះទីតាំងជាភាសាខ្មែរ
Default Unit,ឯកតាលំនាំដើម
Stock Location Name EN,ឈ្មោះទីតាំងស្តុកជាអង់គ្លេស
Employee,បុគ្គលិក
Employee Name,ឈ្មោះបុគ្គលិក
Position,មុខតំណែង
Default Outlet,ទីតាំងលំនាំដើម
Employee Code,លេខកូដបុគ្គលិក
Default Frontend Home Page,ទំព័រដើមផ្នែកមុខ
Login Information,ព័ត៌មានចូលប្រព័ន្ធ
Allow Login,អនុញ្ញាតឲ្យចូល
Role Profile,ព័ត៌មានតួនាទី
Edit Bill,កែប្រែវិក្កយបត្រ
Remove Product from Sale Product before Save,លុបផលិតផលចេញពីការលក់ មុនពេលរក្សាទុក
Remove Product from Sale Product after Save,លុបផលិតផលចេញពីការលក់ បន្ទាប់ពីរក្សាទុក
Change Product Price,ផ្លាស់ប្តូរតម្លៃផលិតផល
Change Sale Date,ផ្លាស់ប្តូរថ្ងៃលក់
Change Customer after Close Sale,ផ្លាស់ប្តូរអតិថិជន បន្ទាប់ពីបិទការលក់
Split Bill,បំបែកវិក្កយបត្រ
New Employee,បុគ្គលិកថ្មី
Change,ប្តូរ
Employee Position,មុខតំណែងបុគ្គលិក
Photo,រូបភាព
Index,សន្ទស្សន៍
Journal Entry,ប្រតិទិនគណនេយ្យ
Purchase,បញ្ជាទិញ
Purchase Order,បញ្ជាទិញ
Products Quantity,បរិមាណផលិតផល
Units,ឯកតា
Stock Location Products,ផលិតផលទីតាំងស្តុក
Selling,ការលក់
Sale Invoice List,បញ្ជីវិក្ក័យបត្រលក់
Customer & Driver,អតិថិជន/អ្នកបើកបរ
Block Ice Invoice,វិក្ក័យបត្រទឹកកកដុំ
Expenses List,បញ្ជីចំណាយ
Currency Exchange,ការប្ដូរប្រាក់
Expense,ចំណាយ
Expense Payment,ការទូទាត់ចំណាយ
Expense Category,ប្រភេទចំណាយ
Expense Items,មុខទំនិញចំណាយ
Stock Management,គ្រប់គ្រងឃ្លាំង
Create a new {0},បង្កើត{0}ថ្មី
Accounting,គណនី
Add Row,បញ្ជូលថ្មី
Filter,តម្រង
Last Updated On,ធ្វើបច្ចុប្បន្នភាពចុងក្រោយ
Created On,បង្កើតនៅ
Most Used,ប្រើប្រាស់ច្រើនបំផុត
Male,ប្រុស
Female,ស្រី
Activity,សកម្មភាព
New Email,អ៊ីមែលថ្មី
Duplicate Row,ចម្លងជួរដេក
Advanced Search,ការស្វែងរកកម្រិតខ្ពស់
Gender,ភេទ
Is Customer,ជាអតិថិជន
Is Driver,ជាអ្នកបើកបរ
Driver List,អ្នកបើកបរ
Is Company,ជាក្រុមហ៊ុន
Product Code,លេខកូដផលិតផល 
Product Management,គ្រប់គ្រងផលិតផល 
Product Name,ឈ្មោះផលិតផល
Multiplier,មេគុណ
Information Detail,ព័ត៌មានលម្អិត
Info,ព័ត៌មាន
Free Products,ផលិតផលឥតគិតថ្លៃ
Comments,មតិយោបល់
Product Prices,តម្លៃផលិតផល
Can Split Bill,អាចបំបែកវិក្កយបត្រ
Can Edit Bill,អាចកែវិក្កយបត្រ
Enabled,បើកដំណើរការ
Can Show Price,អាចបង្ហាញតម្លៃ
Plate Number,ស្លាកលេខឡាន
Keyword,ពាក្យគន្លឹះ
Account,គណនី
Accounts,គណនី
No rows,គ្មានទិន្នន័យ
ID,លេខID
Product Units,ឯកតាទំនិញ
Add,បញ្ជូល
Add {0},បញ្ជូល {0}
Customer Group,ប្រភេទអតិថិជន
Customer Product Price,តម្លៃផលិតផលអតិថិជន
Product Category,ប្រភេទទំនិញ
Product Categories,ប្រភេទទំនិញ
Category Name,ប្រភេទទំនិញ
Category Name EN,ប្រភេទទំនិញជាអង់គ្លេស
Category Name KH,ប្រភេទទំនិញជាភាសាខ្មែរ
Parent Product Category,ក្រុមទំនិញ
welcome,សូមស្វាគមន៍មកកាន់កម្មវិធីរបស់ខ្ញុំ!
greeting,សួស្តី {name}!
Add Workspace,បញ្ជូល Workspace
ePOS by ESTC,ePOS ដោយ eSTC
Remove Property,លុប Property
Edit Property,កែប្រែព័ត៌មាន
Edit,កែប្រែ
Please enter your business code, username and password,សូមបញ្ជូលព័ត៌មានពាណិជ្ជកម្ម, ឈ្មោះប្រើប្រាស់ និងលេខសម្ងាត់របស់អ្នក
Property Code,លេខកូដពាណិជ្ជកម្ម
Username,ឈ្មោះប្រើប្រាស់
Password,លេខសម្ងាត់
Save Workspace,រក្សាទុក Workspace
Loading,កំពុងដំណើរការ
Loading...,កំពុងដំណើរការ...
Please enter property code,សូមបញ្ជូលលេខកូដពាណិជ្ជកម្ម
Loging In...,កំពុងចូលប្រព័ន្ធ...
Change Language,ប្តូរភាសារ
Help,ជំនួយ
My Profile,ព័ត៌មានរបស់អ្នក
Logout,ចាក់ចេញ
Occupy,បន្ទប់មានភ្ងៀវ
Room Occupy,បន្ទប់មានភ្ងៀវ
Arrival,ភ្ងៀវត្រូវចូល
Departure,ភ្ងៀវត្រូវចេញ
Stay Over,ភ្ងៀវស្នាក់នៅបន្ត
Vacant Room,បន្ទប់ទំនេរ
Total Rooms,បន្ទប់សរុប
Summary,ព័ត៌មានសង្ខេប
Good Morning!,អរុណសួស្ដី!
Good Afternoon!,ទិវាសួស្តី
Good Evening!,សាយន្តសួស្តី
Welcome to your workspace.,សូមស្វាគមន៍មកកាន់កន្លែងធ្វើការរបស់អ្នក
Monday,ថ្ងៃច័ន្ទ
Tuesday,ថ្ងៃអង្គារ
Wednesday,ថ្ងៃពុធ
Thursday,ថ្ងៃព្រហស្បតិ៍
Friday,ថ្ងៃសុក្រ
Saturday,ថ្ងៃសៅរ៍
Sunday,ថ្ងៃអាទិត្យ
January,ខែមករា
February,ខែកុម្ភៈ
March,មីនា
April,មេសា
May,ឧសភា
June,មិថុនា
July,កក្កដា
August,សីហា
September,កញ្ញា
October,តុលា
November,វិច្ឆិកា
December,ធ្នូ
Today,ថ្ងៃនេះ
Tomorrow,ថ្ងៃស្អែក
on_date_time,នៅថ្ងៃទី
Occupancy,ភាគរយនៃការកាស្នាក់នៅ
Home,ទំព័រដើម
Room,បន្ទប់
Task,កិច្ចការ
Stays,ភ្ងៀវស្នាក់នៅ
reservation_menu,ភ្ងៀវស្នាក់នៅ
Report,របាយការណ៌
Reports,របាយការណ៌
Recent List,បញ្ជីថ្មីៗ
Room Status,ស្ថានភាពបន្ទប់
Occupy Dirty,បន្ទប់មានភ្ងៀវមិនទាន់សម្អាត
Occupy Cleaned,បន្ទប់មានភ្ងៀវស្អាត
Vacant Clean,បន្ទប់ទំនេរស្អាត
Vacant Dirty,បន្ទប់ទំនេរមិនទាន់សម្អាត
Room Block,បន្ទប់បិទ
Lost and Found,បាត់របស់ និងរកឃើញ
Housekeeping SOP,នីតិវិធីស្តង់ដារផ្នែកអនាម័យ
Settings,កំណត់
Setting,កំណត់
Checking property code,ត្រួតពិនិត្យលេខកូដពាណិជ្ជកម្មរបស់អ្នក
Loging In,កំពុងចូលប្រព័ន្ធ
property_not_exist_message,លេខកូដ {property_code} មិនមានក្នុងប្រព័ន្ធទេ
Check Property Information,ត្រួតពិនិត្យព័ត៌មានពាណិជ្ជកម្ម
OK,យល់ព្រម
Ok,យល់ព្រម
ok,យល់ព្រម
View All,មើលទាំងអស់
View all Tasks,មើលកិច្ចការទាំងអស់
My Task,កិច្ចការរបស់ខ្ញុំ
POS Station Name,ម៉ាស៊ីនគិតលុយ
No sale note,គ្មានកំណត់ចំណាំ
Description,បរិយាយ
Bill #,លេខ Bill
Business Branch,សាខា
Sale Product List,តារាងទំនិញ
Working Day/Cashier Shift,ថ្ងៃ និងវេណធ្វើការ
Cash Dollar,ប្រាក់ដុល្លា
Please enter your pin code,សូមបញ្ជូលលេខ PIN កូដរបស់អ្នក
All Task,កិច្ចការទាំងអស់
In Progress,កំពុងដំណើរការ
New,ថ្មី
Clear Selected,លុបការជ្រើសរើស
Search,ស្វែងរក
Jan,មករា
Feb,កុម្ភៈ
Mar,មីនា
Apr,មេសា
Jun,មិថុនា
Jul,កក្កដា
Aug,សីហា
Sep,កញ្ញា
Oct,តុលា
Nov,វិច្ឆិកា
Dec,ធ្នូ
Room Cleaning,សម្អាតបន្ទប់
Customer Management,គ្រប់គ្រងអតិថិជន
Shift Management,គ្រប់គ្រងវេណលក់
Sale & Refund,គ្រប់គ្រងការលក់
Inventory,បញ្ជីសារពើភណ្ឌ
All Coupon Codes,បញ្ជីលេខគូប៉ុងទាំងអស់
Coupon Codes,លេខគូប៉ុង
Sold Coupon,បញ្ជីលេខគូប៉ុងបានលក់
Register Coupon,បញ្ជូលលេខគូប៉ុង
Use Coupon Transaction,ប្រតិបត្តការប្រើគូប៉ុង
Coupon Register,បញ្ជូលលេខគូប៉ុង
Coupon Management,គ្រប់គ្រងគូប៉ុង
Mark as Done,រួចរាល់
Sale #,លេខវិកយប័ត្រ
Close Date,ម៉ោងបិទលក់
View Detail,មើលលម្អិត
Station,កន្លែងលក់
Check Coupon Code,ត្រួតពិនិត្យលេខគូប៉ុងកូដ
Sale Product Dis.,សរុបបញ្ចុះតម្លៃលើទំនិញ
Check coupon code,ត្រួតពិនិត្យលេខគូប៉ុងកូដ
Coupon Transaction Summary,សង្ខេបប្រតិបត្តការគូប៉ុង
Transaction Summary,ប្រតិបត្តការសង្ខេប
Parking Area,កន្លែងចតឡាន
Ongoing,ដំណើរការ
Complete,បញ្ចប់
Cancelled,បានលុបចោល
Dashboard,ផ្ទាំងគ្រប់គ្រង
Sale Dashboard,ផ្ទាំងគ្រប់គ្រងការលក់
Close Working Day,បិទថ្ងៃលក់
Start Working Day,បើកថ្ងៃលក់
Close Cashier Shift,បិទវេណលក់
Close Shift,បិទវេណលក់
New Sale Coupon,លក់គូប៉ុងថ្មី
Quick Action,ប្រតិបត្តការរហ័ស
New Top Up,បញ្ជូល Top Up ថ្មី
New Redeem,បញ្ជូលការដកប្រាក់ថ្មី
Start Cashier Shift,បើកវេណលក់
Start Shift,បើកវេណលក់
Stock Adjustment,កែសម្រួលស្តុក
Sale,លក់
Cash Float,ប្រាក់បើកឲ្យដំបូង
Opening Amount,ប្រាក់ដើមគ្រា
System Close Amount,ប្រាក់បិទបញ្ជីរដោយប្រព័ន្ធ
System Closed Amount,ប្រាក់បិទបញ្ជីរដោយប្រព័ន្ធ
Total Closes Amount,សរុបប្រាក់បិទបញ្ជី
Total Difference Amount,សរុបប្រាក់លម្អៀង
Product List,តារាងបញ្ចីទំនិញ
Last modified:,កែប្រែដោយ
Modified By,កែប្រែដោយ
Modified,កែប្រែចុងក្រោយ
Modified Date,ថ្ងៃកែប្រែចុងក្រោយ
Last Modified,កែប្រែចុងក្រោយ
Sale Detail:,ព័ត៌មានលក់
Sale Detail,ព័ត៌មានលក់
Sale Detail Report,របាយការណ៌ព័ត៌មានលក់លម្អិត
Customer Detail:,ព័ត៌មានអតិថិជន
Customer Detail,ព័ត៌មានអតិថិជន
Branch,សាខា
Bill Number,លេខវិក័យប័ត្រ
Posting Date,កាលបរិច្ឆេទបញ្ចូល
Table #,លេខតុ
Payment successfully,បង់ប្រាក់បានជោគជ័យ
To Date,ដល់
Price Rule,កម្រិតតម្លៃ
Select,ជ្រើសរើស
Today Revenue,ចំណូលថ្ងៃនេះ
Today Bill / QTY,ចនួនវិកយប័ត្រ/ចំនួន
Stock Location,ទីតាំងស្តុក
Outlet,ទីតាំងលក់
Working Day,ថ្ងៃធ្វើការ
MTD Revenue,ចំណូលប្រចាំខែ
Coupon Amount Summary,សង្ខេបចំនួនទឹកប្រាក់ក្នុងគូប៉ុង
Cashier Shift,វេនអ្នកគិតលុយ
Payment,បង់ប្រាក់
Sale + Top Up,លក់ + បញ្ជូលទឹកប្រាក់បន្ថែម
Use,ប្រើប្រាស់គូប៉ុង
Total,សរុប
USD,ដុល្លា
KHR,រៀល
Quick Pay,ទូទាត់រហ័ស
Delete this Order,លុបវិកយប័ត្រនេះ
Mores,ផ្សេងៗ
Set Reference Number,កំណត់លេខយោង
Reference Number,លេខយោង
View Order Detail,មើលប៉ុងលម្អិត
Print Bill,បោះពុម្ភវិកយប័ត្រ
Total Quantity,ចំនួនសរុប
Created by,បង្កើតដោយ
Use Amount,ទឹកប្រាក់ប្រើប្រាស់
